#CGI
#yaml:
#    date: 2023-12-06 13:45:46
#    transit_version: v1.0.7
#    app_or_command_line: app
#    console_command: transit 
#    stats: {}
#    parameters:
#       frac_abund_file: /Users/jeffhykin/repos/transit2/cgi_output.abundances.tsv
#    
#Significant Interactions	Orf	Gene	Nobs	intercept	coefficient sgRNA_strength	coefficient concentration dependence	pval intercept	pval pred_logFC	pval concentration dependence	qval concentration dependence	Z
0	RVBD2283	RVBD2283	2	1.1476732009224182	1.6201723326001432	0.0072811980970950915	1.1782392285277605e-09	0.00012754859488922792	0.7896277572272302	0.8428563799277919	0.04264464306223088
0	RVBD3765c	tcrX	7	1.3335718275086967	0.26266200435096765	0.03930826859097498	6.766650419931356e-19	3.926039695372711e-23	0.19693165058527398	0.2753072988022148	0.25010011039183183
0	RVBD3698	RVBD3698	12	0.8859699935887166	0.2831813148645963	-0.010935705334145727	7.785476441985305e-26	3.4417022638392036e-26	0.5448851955098674	0.6379994923844793	-0.07535541614856858
0	RVBD3390	lpqD	13	0.9653279486092795	0.3542372669446151	-0.007987355333783827	6.657683483961282e-22	7.643081211736251e-19	0.7255677075037245	0.7926926606258743	-0.056257468139455834
0	RVBD2556c	RVBD2556c	6	1.5287614815279005	0.2263090627973054	0.135149862598756	5.3010813367360804e-33	5.173539530901265e-12	2.1289236616283858e-10	1.2267236342506257e-09	0.8709143893093354
0	RVBD0051	RVBD0051	22	0.5528231049051868	0.17080883610185588	-0.07441869705382491	8.244732921212925e-25	5.869559730310756e-82	1.2634062662341737e-08	6.48140306478807e-08	-0.48656672931578104
0	RVBD0922	RVBD0922	7	1.1085510949505406	0.2781104381957832	0.004301263371193843	2.748342808843634e-31	2.6109091245258735e-31	0.7744030896946901	0.8301303909253847	0.023342104876864115
0	RVBD3312A	RVBD3312A	8	1.122156014999045	0.04758509537587541	0.05361698953342679	8.713313013767964e-20	0.6789970147378132	0.02890446778406106	0.053896045168054504	0.3427849031071828
0	RVBD1176c	RVBD1176c	7	1.2197468204561606	-0.0655057972182823	0.06501680773914145	7.23179258648906e-21	0.6368735765375144	0.005233228866719325	0.011892668227650689	0.41662726760914226
0	RVBD1630	rpsA	106	0.14614208860706038	0.10586299191535462	-0.09666497285070784	0.0007012324993613885	0.0	4.0540495130844806e-18	3.672384491357158e-17	-0.6306670628966327
0	RVBD3402c	RVBD3402c	12	0.9981690214522505	0.2659058741495336	-0.004216874398327004	5.084310649131118e-29	1.6134696529689787e-44	0.8193579340612271	0.8672256870511199	-0.031834163963945325
0	RVBD3444c	esxT	5	1.2299014234389802	0.2878627007193827	0.05108539845803043	1.4150827837744426e-21	0.00017076121577244875	0.020226811534741568	0.039281620469691254	0.3263865125727079
0	RVBD0638	secE1	33	0.2730889066174731	0.08319874785733965	0.002138578846820015	0.01125175971007055	1.6044854067558116e-60	0.9277791776287836	0.9487739263724809	0.009333307888197804
0	RVBD3847	RVBD3847	6	0.9660135331289664	0.42690098991642345	0.0047723618951044655	2.1724170819544516e-21	1.0561699557772106e-15	0.7996460788868283	0.8501130903198526	0.026393647304225342
0	RVBD3558	PPE64	11	0.6867824206671518	-0.9117450268939815	0.03704001053546375	2.1208141597474023e-12	3.644613025570424e-12	0.096348938495008	0.15280576917465385	0.2354074604655723
0	RVBD0185	RVBD0185	6	1.0276560055812034	0.2981364754458465	0.004071964663312496	5.889662232705947e-14	2.7452220233971263e-08	0.8809514649367894	0.9153156269635152	0.021856821650267148
0	RVBD2162c	PE-PGRS38	6	0.9168699915502685	0.1524798789178616	0.035253154863352634	1.2251968147750546e-18	1.1814516984667284e-05	0.06441610797658158	0.10875823287410764	0.22383309625454662
0	RVBD0184	RVBD0184	7	0.3881997884381543	0.17810259019152663	-0.0720233856340123	0.0019521475981789968	1.1759260651631884e-05	0.022253792313788764	0.042763856992861164	-0.4710510907533308
0	RVBD1618	tesB1	6	1.259283893878167	0.2531668682688094	0.07261351168062447	3.717124989474272e-29	4.504885123845631e-22	6.481347248778157e-05	0.00022054127440427875	0.4658349454280092
0	RVBD3569c	hsaD	6	0.8548025906805515	0.26318903711427244	-0.04826744916165032	1.1518250563754289e-13	1.3010933229280255e-22	0.04300528101867052	0.07687432900315239	-0.31717192457520904
0	RVBD2004c	RVBD2004c	14	0.728132118720505	0.2528239126088994	-0.04931674231845075	2.1344156293379677e-25	1.4006173552915082e-07	0.0015179908403910095	0.0039722570982775795	-0.3239687248711144
-1	RVBD0436c	pssA	5	-0.8942305200752092	0.09138919261212722	-0.3435560823596516	7.971142434785195e-07	0.008462794118901008	1.836479577505343e-18	1.7137635407718075e-17	-2.229905135966386
0	RVBD1265	RVBD1265	6	1.0407028299915975	0.14915001297234232	0.03516595041493412	8.721060203735702e-23	0.017159992539477108	0.06983292555510924	0.11659112768063487	0.2232682291180616
0	RVBD2234	ptpA	4	0.11472070742210017	-0.03212047233322643	-0.031155547279086825	0.6666773462430224	0.5358047064364585	0.061472039531131166	0.10432090421696606	-0.20632951697430596
0	RVBD0426c	RVBD0426c	5	0.8682727914192607	0.351185459110245	0.0047892421349602435	1.6322845250144763e-13	6.18149330170227e-07	0.8275679927977441	0.8747643802976417	0.026502989120192725
1	RVBD1297	rho	130	4.0033744485820595	0.23306440157870797	0.49101159877660694	2.585749922998488e-195	2.294330454835535e-241	5.33716360281946e-57	1.5783876478338138e-55	3.176010098815663
0	RVBD3238c	RVBD3238c	7	1.0684302060421573	0.2826669347895507	0.01447015211398145	3.696970599762711e-15	3.47178036333572e-08	0.6139767715065152	0.7009408387735464	0.08921111923959976
0	RVBD1735Ac	RVBD1735Ac	6	1.0621308580540383	0.24708784378560422	0.028421449838162166	2.397563729737593e-15	2.2493358629757045e-05	0.31237009933817866	0.4063235897600759	0.17958070173942225
0	RVBD1625c	cya	8	0.999940092324425	0.3156733274680428	-0.007342598592517246	6.770341039675386e-20	2.3422657291907977e-21	0.7399570144839333	0.8052237857831114	-0.05208105396823373
0	RVBD1549	fadD11.1	6	0.8560712878775667	0.06319016618299844	-0.02455370246129692	3.8527837779634393e-14	0.5912986271893552	0.315287881057607	0.40932467966872027	-0.1635660428009867
0	RVBD0205	RVBD0205	16	0.7808104442556478	0.20501512409656458	-0.061146099549472546	6.287479268021734e-24	3.37227069637029e-64	0.0005250537488428878	0.0015116436491382208	-0.40059342999484315
0	RVBD3305c	amiA1	12	-0.026382691117442687	0.1164695090254402	-0.18686678354541206	0.7008024024537084	2.2456520252150827e-38	4.0839479398282637e-19	3.910866336664113e-18	-1.214949624588372
0	RVBD1027c	kdpE	9	1.0037029436141087	0.1955437092511657	0.01280654271123256	4.0861739347441435e-24	8.001526336271454e-22	0.5299491037936239	0.6257942734756181	0.07843508319324517
0	RVBD2881c	cdsA	145	0.7732451623371784	0.1141510037166324	-0.025000191312695964	2.978279795252836e-135	0.0	0.000848869897152804	0.002341669908332358	-0.1664581759838248
0	RVBD3447c	eccC4	34	1.0248845712963919	0.19571491578117747	0.002955694604025619	1.0973320746500671e-82	2.8524085460496854e-106	0.788398619190445	0.8419913028104008	0.014626178221307488
0	RVBD0798c	cfp29	5	1.052416107398497	-0.5605427165539459	0.04067196546863822	1.0322586937462296e-12	0.09806251421185823	0.18492767990937634	0.26217100056239395	0.2589334619500272
0	RVBD0563	htpX	10	1.4812081421180907	0.38066338941816447	7.59656938532317e-05	1.0662004304698974e-25	8.442952101110146e-29	0.9977766710640861	0.9980248124893694	-0.004027276422836016
0	RVBD0961	RVBD0961	8	0.9277742291883516	0.2043960296712746	0.009673977720644373	3.8202170300447376e-23	8.195664666982478e-17	0.6030682539788359	0.6924180752220606	0.058143881905041064
0	RVBD0196	RVBD0196	5	1.5540567343568235	0.33768403329371477	0.10001825484722125	2.7039904247226146e-18	3.9638932256793845e-05	0.001615778284299054	0.004203531862516685	0.6433492704350507
0	RVBD3866	espG1	9	0.9472000996150052	0.25524216979286685	-0.015773906782158335	4.7015013127752164e-30	3.628560410215109e-05	0.2990953138441887	0.39184408869098597	-0.10669488388490149
0	RVBD0789c	RVBD0789c	9	1.17905096641068	0.2208785143730173	0.06821128366872244	6.161224242896068e-26	0.0016872396888995855	0.0022538748848943816	0.005592279325752747	0.43731949723317304
0	RVBD0853c	pdc	16	1.3376888606238273	0.4924775624761307	0.0775735550643328	5.5861588698842375e-59	8.672777204845944e-17	3.1423141172462113e-07	1.4073928039603856e-06	0.4979636447525053
0	RVBD1285	cysD	11	1.3174352344358882	0.17060981518124496	0.11105767217695786	1.898972444611611e-21	8.932711174984479e-28	0.000461485850676258	0.0013430507173805425	0.7148571369326949
